ita_id;id_ras_activity_data;ita_t;ita_micro;ita_mili ;ita_x;ita_y;ita_z;ita_is_calibration_data
18048559;3799;1,69564E+12;288149143;1633;6.9963193;1.7135687;-5.4326124;false
18049244;3799;1,69564E+12;235014747;1633;-0.06296421;0.034570348;0.12218353;true
18048560;3799;1,69564E+12;288165810;1650;-1.237709;-0.25219852;-4.606345;false
18049245;3799;1,69564E+12;235031414;1650;-0.07571942;-0.02240034;0.11822651;true
18048561;3799;1,69564E+12;288182477;1666;-5.8688736;-2.986966;-2.3262382;false
18049246;3799;1,69564E+12;235048081;1666;-0.05265652;-0.046817157;0.0956697;true
18048562;3799;1,69564E+12;288199144;1683;-7.4272804;-5.015425;1.9796689;false
18049247;3799;1,69564E+12;235064748;1683;-0.0529928;-0.025958065;0.13474916;true
18048563;3799;1,69564E+12;288215811;1700;-7.8890395;-4.2402906;4.7570167;false
18049248;3799;1,69564E+12;235081415;1700;-0.0022266589;0.028228773;0.1634702;true
18048564;3799;1,69564E+12;288232478;1716;0.1709859;-0.7193744;0.17059723;false
18049249;3799;1,69564E+12;235098082;1716;0.039726477;0.037008695;0.105824314;true
18048565;3799;1,69564E+12;288249145;1733;0.9118625;1.8124019;-0.68626577;false
18049250;3799;1,69564E+12;235114749;1733;-0.04424073;-0.008266369;0.10148701;true
18048566;3799;1,69564E+12;288265812;1750;-1.2086902;1.6576415;0.4256319;false
18049251;3799;1,69564E+12;235131416;1750;0.04175084;-0.022099374;0.10851835;true
18048567;3799;1,69564E+12;288282479;1766;-1.3549926;0.28200462;-0.02450457;false
18049252;3799;1,69564E+12;235148083;1766;-3.216112E-4;-0.04501885;0.09563648;true
18048568;3799;1,69564E+12;288299146;1783;-2.2359195;-0.99821585;1.6912463;false
18049253;3799;1,69564E+12;235164750;1783;-0.004610035;-0.08122318;0.097767495;true
18048569;3799;1,69564E+12;288315813;1800;-1.955774;-1.1940949;2.2205436;false
18049254;3799;1,69564E+12;235181417;1800;-0.038302574;-0.08634859;0.11236638;true
18048570;3799;1,69564E+12;288332480;1816;-1.7205162;-0.24437623;1.9297807;false
18049255;3799;1,69564E+12;235198084;1816;0.08664875;0.060117036;0.08259096;true
18048571;3799;1,69564E+12;288349147;1833;-1.8167073;0.6482529;2.1438663;false
18049256;3799;1,69564E+12;235214751;1833;0.1237803;0.050623436;0.10756805;true
18048572;3799;1,69564E+12;288365814;1850;-1.9116378;0.5938451;1.9611909;false
18049257;3799;1,69564E+12;235231418;1850;-0.038152467;0.029897667;0.05301306;true
18048573;3799;1,69564E+12;288382481;1866;-0.8540124;0.12668721;1.41225;false
18049258;3799;1,69564E+12;235248085;1866;0.050418466;-0.01421847;0.092166334;true
18048574;3799;1,69564E+12;288399148;1883;-1.3511285;-0.41333044;2.1935549;false
18049259;3799;1,69564E+12;235264752;1883;0.068302244;-0.082018666;0.1134058;true
18048575;3799;1,69564E+12;288415815;1900;-2.1354253;-0.8709124;2.6220257;false
18049260;3799;1,69564E+12;235281419;1900;0.1861945;-0.07648331;0.12556405;true
18048576;3799;1,69564E+12;288432482;1916;-4.625563;-1.7571622;4.109576;false
18049261;3799;1,69564E+12;235298086;1916;0.06632872;-0.09622553;0.024770934;true
